title,craft,price_inr,source
Ajrakh hand block print cotton dupatta natural indigo,Ajrakh block print,1899,manual
Ajrakh cotton stole madder and indigo hand printed,Ajrakh block print,1650,manual
Kutch Ajrakh block print bedsheet double bed,Ajrakh block print,3200,manual
Ajrakh natural dye cotton saree hand block printed,Ajrakh block print,4500,manual
Ajrakh cushion cover set of two block printed,Ajrakh block print,899,manual
Madhubani painting on handmade paper peacock motif,Madhubani painting,1200,manual
Madhubani art canvas Krishna theme hand painted,Madhubani painting,2800,manual
Mithila Madhubani painting tree of life,Madhubani painting,1950,manual
Madhubani hand painted greeting cards set of 6,Madhubani painting,450,manual
Madhubani wall hanging fish motif traditional,Madhubani painting,1600,manual
Channapatna wooden toy stacking rings for toddlers,Channapatna toys,650,manual
Channapatna lacquered wooden spinning top set,Channapatna toys,350,manual
Channapatna wooden doll handcrafted lacquerware,Channapatna toys,899,manual
Channapatna wooden rattle baby toy natural dye,Channapatna toys,280,manual
Channapatna wooden abacus educational toy,Channapatna toys,750,manual
Pattachitra painting on tussar silk Jagannath theme,Pattachitra,2200,manual
Odisha Pattachitra scroll painting traditional,Pattachitra,3500,manual
Pattachitra hand painted palm leaf art,Pattachitra,1400,manual
Pattachitra painted wooden mask wall decor,Pattachitra,1750,manual
Bidri ware silver inlay vase handcrafted,Bidri,4200,manual
Bidriware jewellery box black metal silver inlay,Bidri,2600,manual
Bidri metal craft hookah base traditional,Bidri,3800,manual
Bidriware earrings set silver inlay handmade,Bidri,950,manual
Phulkari hand embroidered dupatta Punjab,Phulkari,1750,manual
Phulkari embroidery cushion cover set,Phulkari,899,manual
Phulkari hand stitched stole floral thread work,Phulkari,1300,manual
Phulkari embroidered bag handcrafted Punjab,Phulkari,1100,manual
